county,county_md,state_md,number_of_md,population_by_cty,"md_rate_per_100,000"
"Live Oak County, TX",Live Oak,TX,1,11377,8.79
"Llano County, TX",Llano,TX,37,21978,168.35
"Loving County, TX",Loving,TX,0,57,0
"Lubbock County, TX",Lubbock,TX,1428,314451,454.12
"Lynn County, TX",Lynn,TX,8,5688,140.65
"Madison County, TX",Madison,TX,3,13718,21.87
"Marion County, TX",Marion,TX,4,9645,41.47
"Martin County, TX",Martin,TX,1,5211,19.19
"Mason County, TX",Mason,TX,4,3943,101.45
"Matagorda County, TX",Matagorda,TX,36,36344,99.05
"Maverick County, TX",Maverick,TX,45,58056,77.51
"McCulloch County, TX",McCulloch,TX,2,7533,26.55
"McLennan County, TX",McLennan,TX,663,263115,251.98
"McMullen County, TX",McMullen,TX,1,608,164.47
"Medina County, TX",Medina,TX,37,51981,71.18
"Menard County, TX",Menard,TX,0,1982,0
"Midland County, TX",Midland,TX,312,167969,185.75
"Milam County, TX",Milam,TX,11,25106,43.81
"Mills County, TX",Mills,TX,3,4480,66.96
"Mitchell County, TX",Mitchell,TX,4,9070,44.1
"Montague County, TX",Montague,TX,12,20409,58.8
"Montgomery County, TX",Montgomery,TX,1480,648886,228.08
"Moore County, TX",Moore,TX,15,21118,71.03
"Morris County, TX",Morris,TX,2,12030,16.63
"Motley County, TX",Motley,TX,0,1067,0
"Nacogdoches County, TX",Nacogdoches,TX,156,64668,241.23
"Navarro County, TX",Navarro,TX,58,53591,108.23
"Newton County, TX",Newton,TX,5,12241,40.85
"Nolan County, TX",Nolan,TX,11,14597,75.36
"Nueces County, TX",Nueces,TX,1056,353079,299.08
"Ochiltree County, TX",Ochiltree,TX,5,9782,51.11
"Oldham County, TX",Oldham,TX,1,1717,58.24
"Orange County, TX",Orange,TX,35,84742,41.3
"Palo Pinto County, TX",Palo Pinto,TX,26,28686,90.64
"Panola County, TX",Panola,TX,13,22675,57.33
"Parker County, TX",Parker,TX,170,156764,108.44
"Parmer County, TX",Parmer,TX,2,9813,20.38
"Pecos County, TX",Pecos,TX,12,15118,79.38
"Polk County, TX",Polk,TX,86,51899,165.71
"Potter County, TX",Potter,TX,493,116547,423.01
"Presidio County, TX",Presidio,TX,3,6140,48.86
"Rains County, TX",Rains,TX,4,12509,31.98
"Randall County, TX",Randall,TX,315,143854,218.97
"Reagan County, TX",Reagan,TX,3,3253,92.22
"Real County, TX",Real,TX,2,2826,70.77
"Red River County, TX",Red River,TX,7,11555,60.58
"Reeves County, TX",Reeves,TX,9,14487,62.12
"Refugio County, TX",Refugio,TX,1,6756,14.8
"Roberts County, TX",Roberts,TX,0,797,0
"Robertson County, TX",Robertson,TX,3,16958,17.69
"Rockwall County, TX",Rockwall,TX,218,116381,187.32
"Runnels County, TX",Runnels,TX,10,9943,100.57
"Rusk County, TX",Rusk,TX,36,52743,68.26
"Sabine County, TX",Sabine,TX,6,10039,59.77
"San Augustine County, TX",San Augustine,TX,2,7922,25.25
"San Jacinto County, TX",San Jacinto,TX,8,27878,28.7
"San Patricio County, TX",San Patricio,TX,34,69699,48.78
"San Saba County, TX",San Saba,TX,4,5827,68.65
"Schleicher County, TX",Schleicher,TX,2,2429,82.34
"Scurry County, TX",Scurry,TX,14,16824,83.21
"Shackelford County, TX",Shackelford,TX,2,3212,62.27
"Shelby County, TX",Shelby,TX,10,23939,41.77
"Sherman County, TX",Sherman,TX,0,2798,0
"Smith County, TX",Smith,TX,982,237186,414.02
"Somervell County, TX",Somervell,TX,8,9469,84.49
"Starr County, TX",Starr,TX,32,66049,48.45
"Stephens County, TX",Stephens,TX,3,9173,32.7
"Sterling County, TX",Sterling,TX,0,1381,0
"Stonewall County, TX",Stonewall,TX,3,1217,246.51
"Sutton County, TX",Sutton,TX,4,3319,120.52
"Swisher County, TX",Swisher,TX,1,7008,14.27
"Tarrant County, TX",Tarrant,TX,4865,2126477,228.78
"Taylor County, TX",Taylor,TX,362,143326,252.57
"Terrell County, TX",Terrell,TX,0,724,0
"Terry County, TX",Terry,TX,7,11754,59.55
"Throckmorton County, TX",Throckmorton,TX,1,1495,66.89
"Titus County, TX",Titus,TX,50,31183,160.34
"Tom Green County, TX",Tom Green,TX,316,119411,264.63
"Travis County, TX",Travis,TX,5067,1305154,388.23
"Trinity County, TX",Trinity,TX,2,13827,14.46
"Tyler County, TX",Tyler,TX,9,20077,44.83
"Upshur County, TX",Upshur,TX,19,41774,45.48
"Upton County, TX",Upton,TX,1,3265,30.63
"Uvalde County, TX",Uvalde,TX,30,24729,121.32
"Val Verde County, TX",Val Verde,TX,38,47564,79.89
"Van Zandt County, TX",Van Zandt,TX,19,61275,31.01
"Victoria County, TX",Victoria,TX,243,90964,267.14
"Walker County, TX",Walker,TX,71,77977,91.05
"Waller County, TX",Waller,TX,17,59781,28.44
"Ward County, TX",Ward,TX,2,11194,17.87
"Washington County, TX",Washington,TX,77,35891,214.54
"Webb County, TX",Webb,TX,297,267945,110.84
"Wharton County, TX",Wharton,TX,53,41721,127.03
"Wheeler County, TX",Wheeler,TX,1,4927,20.3
"Wichita County, TX",Wichita,TX,342,130069,262.94
"Wilbarger County, TX",Wilbarger,TX,18,12731,141.39
"Willacy County, TX",Willacy,TX,11,20316,54.14
"Williamson County, TX",Williamson,TX,1493,643026,232.18
"Wilson County, TX",Wilson,TX,38,51257,74.14
"Winkler County, TX",Winkler,TX,3,7415,40.46
"Wise County, TX",Wise,TX,58,71714,80.88
"Wood County, TX",Wood,TX,26,45875,56.68
"Yoakum County, TX",Yoakum,TX,6,7607,78.87
"Young County, TX",Young,TX,23,17977,127.94
"Zapata County, TX",Zapata,TX,1,13908,7.19
"Zavala County, TX",Zavala,TX,3,9534,31.47
"Beaver County, UT",Beaver,UT,9,7249,124.16
"Box Elder County, UT",Box Elder,UT,37,59688,61.99
"Cache County, UT",Cache,UT,213,137417,155
"Carbon County, UT",Carbon,UT,22,20372,107.99
"Daggett County, UT",Daggett,UT,0,976,0
"Davis County, UT",Davis,UT,649,367285,176.7
"Duchesne County, UT",Duchesne,UT,25,19790,126.33
"Emery County, UT",Emery,UT,1,9967,10.03
"Garfield County, UT",Garfield,UT,1,5129,19.5
"Grand County, UT",Grand,UT,30,9663,310.46
"Iron County, UT",Iron,UT,54,60519,89.23
"Juab County, UT",Juab,UT,10,12155,82.27
"Kane County, UT",Kane,UT,4,7992,50.05
"Millard County, UT",Millard,UT,10,13164,75.96
"Morgan County, UT",Morgan,UT,40,12657,316.03
"Piute County, UT",Piute,UT,1,1487,67.25
"Rich County, UT",Rich,UT,1,2597,38.51
"Salt Lake County, UT",Salt Lake,UT,5572,1186421,469.65
"San Juan County, UT",San Juan,UT,11,14489,75.92
"Sanpete County, UT",Sanpete,UT,25,29106,85.89
"Sevier County, UT",Sevier,UT,17,21906,77.6
"Summit County, UT",Summit,UT,321,43093,744.9
"Tooele County, UT",Tooele,UT,27,76640,35.23
"Uintah County, UT",Uintah,UT,24,36204,66.29
"Utah County, UT",Utah,UT,983,684986,143.51
"Wasatch County, UT",Wasatch,UT,73,36173,201.81
"Washington County, UT",Washington,UT,443,191226,231.66
"Wayne County, UT",Wayne,UT,2,2558,78.19
"Weber County, UT",Weber,UT,449,267066,168.12
"Addison County, VT",Addison,VT,123,37260,330.11
"Bennington County, VT",Bennington,VT,162,37312,434.18
"Caledonia County, VT",Caledonia,VT,69,30403,226.95
"Chittenden County, VT",Chittenden,VT,1782,168865,1055.28
"Essex County, VT",Essex,VT,4,5925,67.51
"Franklin County, VT",Franklin,VT,86,50325,170.89
"Grand Isle County, VT",Grand Isle,VT,30,7421,404.26
"Lamoille County, VT",Lamoille,VT,90,26126,344.48
"Orange County, VT",Orange,VT,76,29541,257.27
"Orleans County, VT",Orleans,VT,71,27546,257.75
"Rutland County, VT",Rutland,VT,205,60591,338.33
"Washington County, VT",Washington,VT,211,59969,351.85
"Windham County, VT",Windham,VT,155,46090,336.3
"Windsor County, VT",Windsor,VT,332,58196,570.49
"Accomack County, VA",Accomack,VA,36,33246,108.28
"Albemarle County, VA",Albemarle,VA,968,113535,852.6
"Alexandria City, VA",Alexandria,VA,587,154706,379.43
"Alleghany County, VA",Alleghany,VA,16,14986,106.77
"Amelia County, VA",Amelia,VA,6,13268,45.22
"Amherst County, VA",Amherst,VA,14,31273,44.77
"Appomattox County, VA",Appomattox,VA,3,16353,18.35
"Arlington County, VA",Arlington,VA,1096,232965,470.46
"Augusta County, VA",Augusta,VA,149,77563,192.1
"Bath County, VA",Bath,VA,3,4114,72.92
"Bedford County, VA",Bedford,VA,139,80131,173.47
"Bland County, VA",Bland,VA,1,6173,16.2
"Botetourt County, VA",Botetourt,VA,53,33866,156.5
"Bristol City, VA",Bristol,VA,21,17054,123.14
"Brunswick County, VA",Brunswick,VA,7,15940,43.91
"Buchanan County, VA",Buchanan,VA,16,19816,80.74
"Buckingham County, VA",Buckingham,VA,5,16947,29.5
"Buena Vista City, VA",Buena Vista,VA,5,6601,75.75
"Campbell County, VA",Campbell,VA,14,55492,25.23
"Caroline County, VA",Caroline,VA,7,31332,22.34
"Carroll County, VA",Carroll,VA,60,29048,206.55
"Charles City County, VA",Charles City,VA,3,6594,45.5
"Charlotte County, VA",Charlotte,VA,7,11448,61.15
"Charlottesville City, VA",Charlottesville,VA,1803,45672,3947.71
"Chesapeake City, VA",Chesapeake,VA,660,251269,262.67
"Chesterfield County, VA",Chesterfield,VA,1235,370688,333.16
"Clarke County, VA",Clarke,VA,31,14881,208.32
"Colonial Heights City, VA",Colonial Heights,VA,64,18273,350.24
"Covington City, VA",Covington,VA,11,5717,192.41
"Craig County, VA",Craig,VA,3,4865,61.67
"Culpeper County, VA",Culpeper,VA,74,53596,138.07
"Cumberland County, VA",Cumberland,VA,3,9681,30.99
"Danville City, VA",Danville,VA,146,42215,345.85
"Dickenson County, VA",Dickenson,VA,7,13787,50.77
"Dinwiddie County, VA",Dinwiddie,VA,7,27912,25.08
"Emporia City, VA",Emporia,VA,0,5667,0
"Essex County, VA",Essex,VA,19,10573,179.7
"Fairfax City, VA",Fairfax,VA,2,24276,8.24
"Fairfax County, VA",Fairfax,VA,6049,1139720,530.74
"Falls Church City, VA",Falls Church,VA,184,14493,1269.58
"Fauquier County, VA",Fauquier,VA,134,73815,181.53
"Floyd County, VA",Floyd,VA,15,15566,96.36
"Fluvanna County, VA",Fluvanna,VA,38,27723,137.07
"Franklin City, VA",Franklin,VA,20,8217,243.4
"Franklin County, VA",Franklin,VA,67,54938,121.96
"Frederick County, VA",Frederick,VA,154,93717,164.32
"Fredericksburg City, VA",Fredericksburg,VA,242,28367,853.1
"Galax City, VA",Galax,VA,0,6660,0
"Giles County, VA",Giles,VA,16,16562,96.61
"Gloucester County, VA",Gloucester,VA,67,39069,171.49
"Goochland County, VA",Goochland,VA,91,25488,357.03
"Grayson County, VA",Grayson,VA,5,15359,32.55
"Greene County, VA",Greene,VA,17,20968,81.08
"Greensville County, VA",Greensville,VA,16,11437,139.9
"Halifax County, VA",Halifax,VA,65,33738,192.66
"Hampton City, VA",Hampton,VA,251,137746,182.22
"Hanover County, VA",Hanover,VA,254,111603,227.59
"Harrisonburg City, VA",Harrisonburg,VA,272,51430,528.87
"Henrico County, VA",Henrico,VA,1778,333554,533.05
"Henry County, VA",Henry,VA,69,50248,137.32
"Highland County, VA",Highland,VA,3,2226,134.77
"Hopewell City, VA",Hopewell,VA,25,23140,108.04
"Isle of Wight County, VA",Isle of Wight,VA,50,39278,127.3
"James City County, VA",James City,VA,490,79882,613.4
"King and Queen County, VA",King and Queen,VA,7,6662,105.07
"King George County, VA",King George,VA,11,27489,40.02
"King William County, VA",King William,VA,9,18171,49.53
"Lancaster County, VA",Lancaster,VA,33,10928,301.98
"Lee County, VA",Lee,VA,12,21983,54.59
"Lexington City, VA",Lexington,VA,0,7456,0
"Loudoun County, VA",Loudoun,VA,1114,427592,260.53
"Louisa County, VA",Louisa,VA,17,38848,43.76
"Lunenburg County, VA",Lunenburg,VA,5,11926,41.93
"Lynchburg City, VA",Lynchburg,VA,497,79009,629.04
"Madison County, VA",Madison,VA,11,13942,78.9
"Manassas City, VA",Manassas,VA,135,42708,316.1
"Manassas Park City, VA",Manassas Park,VA,0,17002,0
"Martinsville City, VA",Martinsville,VA,10,13517,73.98
"Mathews County, VA",Mathews,VA,25,8546,292.53
"Mecklenburg County, VA",Mecklenburg,VA,58,30248,191.75
"Middlesex County, VA",Middlesex,VA,12,10781,111.31
"Montgomery County, VA",Montgomery,VA,216,98473,219.35
"Nelson County, VA",Nelson,VA,49,14790,331.3
"New Kent County, VA",New Kent,VA,21,23897,87.88
"Newport News City, VA",Newport News,VA,448,184587,242.7
"Norfolk City, VA",Norfolk,VA,1552,235089,660.18
"Northampton County, VA",Northampton,VA,42,12085,347.54
"Northumberland County, VA",Northumberland,VA,52,12029,432.29
"Norton City, VA",Norton,VA,32,3666,872.89
"Nottoway County, VA",Nottoway,VA,17,15594,109.02
"Orange County, VA",Orange,VA,42,37188,112.94
"Page County, VA",Page,VA,11,23807,46.2
"Patrick County, VA",Patrick,VA,10,17602,56.81
"Petersburg City, VA",Petersburg,VA,77,33429,230.34
"Pittsylvania County, VA",Pittsylvania,VA,11,59972,18.34
"Poquoson City, VA",Poquoson,VA,47,12574,373.79
"Portsmouth City, VA",Portsmouth,VA,353,97840,360.79
"Powhatan County, VA",Powhatan,VA,37,31136,118.83
"Prince Edward County, VA",Prince Edward,VA,53,21932,241.66
"Prince George County, VA",Prince George,VA,21,42880,48.97
"Prince William County, VA",Prince William,VA,644,484472,132.93
"Pulaski County, VA",Pulaski,VA,40,33759,118.49
"Radford City, VA",Radford,VA,34,16499,206.07
"Rappahannock County, VA",Rappahannock,VA,13,7407,175.51
"Richmond City, VA",Richmond,VA,2068,226604,912.61
"Richmond County, VA",Richmond,VA,7,9017,77.63
"Roanoke City, VA",Roanoke,VA,747,98865,755.58
"Roanoke County, VA",Roanoke,VA,557,96589,576.67
"Rockbridge County, VA",Rockbridge,VA,71,22641,313.59
"Rockingham County, VA",Rockingham,VA,77,84394,91.24
"Russell County, VA",Russell,VA,16,25550,62.62
"Salem City, VA",Salem,VA,218,25373,859.18
"Scott County, VA",Scott,VA,13,21419,60.69
"Shenandoah County, VA",Shenandoah,VA,44,44752,98.32
"Smyth County, VA",Smyth,VA,52,29477,176.41
"Southampton County, VA",Southampton,VA,9,18006,49.98
"Spotsylvania County, VA",Spotsylvania,VA,245,143676,170.52
"Stafford County, VA",Stafford,VA,162,160877,100.7
"Staunton City, VA",Staunton,VA,78,25661,303.96
"Suffolk City, VA",Suffolk,VA,299,96194,310.83
"Surry County, VA",Surry,VA,4,6530,61.26
"Sussex County, VA",Sussex,VA,4,10763,37.16
"Tazewell County, VA",Tazewell,VA,96,39925,240.45
"Virginia Beach City, VA",Virginia Beach,VA,1566,457672,342.17
"Warren County, VA",Warren,VA,58,40925,141.72
"Washington County, VA",Washington,VA,151,53635,281.53
"Waynesboro City, VA",Waynesboro,VA,66,22550,292.68
"Westmoreland County, VA",Westmoreland,VA,9,18731,48.05
"Williamsburg City, VA",Williamsburg,VA,5,15590,32.07
"Winchester City, VA",Winchester,VA,298,28136,1059.14
"Wise County, VA",Wise,VA,50,35647,140.26
"Wythe County, VA",Wythe,VA,46,28178,163.25
"York County, VA",York,VA,258,70915,363.82
"Adams County, WA",Adams,WA,11,20621,53.34
"Asotin County, WA",Asotin,WA,78,22397,348.26
"Benton County, WA",Benton,WA,494,210025,235.21
"Chelan County, WA",Chelan,WA,381,79646,478.37
"Clallam County, WA",Clallam,WA,261,78209,333.72
"Clark County, WA",Clark,WA,1219,511404,238.36
"Columbia County, WA",Columbia,WA,4,4042,98.96
"Cowlitz County, WA",Cowlitz,WA,197,111524,176.64
"Douglas County, WA",Douglas,WA,38,43696,86.96
"Ferry County, WA",Ferry,WA,8,7273,110
"Franklin County, WA",Franklin,WA,79,98268,80.39
"Garfield County, WA",Garfield,WA,3,2346,127.88
"Grant County, WA",Grant,WA,81,100297,80.76
"Grays Harbor County, WA",Grays Harbor,WA,79,76841,102.81
"Island County, WA",Island,WA,204,87432,233.32
"Jefferson County, WA",Jefferson,WA,113,33605,336.26
"King County, WA",King,WA,13937,2252305,618.79
"Kitsap County, WA",Kitsap,WA,834,274314,304.03
"Kittitas County, WA",Kittitas,WA,63,45499,138.46
"Klickitat County, WA",Klickitat,WA,45,23118,194.65
"Lewis County, WA",Lewis,WA,114,84398,135.07
"Lincoln County, WA",Lincoln,WA,4,11232,35.61
"Mason County, WA",Mason,WA,66,67615,97.61
"Okanogan County, WA",Okanogan,WA,74,42634,173.57
"Pacific County, WA",Pacific,WA,9,23948,37.58
"Pend Oreille County, WA",Pend Oreille,WA,14,13886,100.82
"Pierce County, WA",Pierce,WA,2870,925708,310.03
"San Juan County, WA",San Juan,WA,73,18557,393.38
"Skagit County, WA",Skagit,WA,414,130696,316.77
"Skamania County, WA",Skamania,WA,6,12170,49.3
"Snohomish County, WA",Snohomish,WA,1554,833540,186.43
"Spokane County, WA",Spokane,WA,1974,546040,361.51
"Stevens County, WA",Stevens,WA,51,47426,107.54
"Thurston County, WA",Thurston,WA,956,297977,320.83
"Wahkiakum County, WA",Wahkiakum,WA,3,4582,65.47
"Walla Walla County, WA",Walla Walla,WA,260,62682,414.79
"Whatcom County, WA",Whatcom,WA,813,228831,355.28
"Whitman County, WA",Whitman,WA,68,47873,142.04
"Yakima County, WA",Yakima,WA,496,256035,193.72
"Barbour County, WV",Barbour,WV,10,15468,64.65
"Berkeley County, WV",Berkeley,WV,195,126069,154.68
"Boone County, WV",Boone,WV,11,21312,51.61
"Braxton County, WV",Braxton,WV,8,12247,65.32
"Brooke County, WV",Brooke,WV,8,22140,36.13
"Cabell County, WV",Cabell,WV,844,93418,903.47
"Calhoun County, WV",Calhoun,WV,4,6176,64.77
"Clay County, WV",Clay,WV,3,7892,38.01
"Doddridge County, WV",Doddridge,WV,1,7735,12.93
"Fayette County, WV",Fayette,WV,33,39927,82.65
"Gilmer County, WV",Gilmer,WV,3,7377,40.67
"Grant County, WV",Grant,WV,11,10983,100.15
"Greenbrier County, WV",Greenbrier,WV,83,32608,254.54
"Hampshire County, WV",Hampshire,WV,14,23302,60.08
"Hancock County, WV",Hancock,WV,55,28656,191.93
"Hardy County, WV",Hardy,WV,5,14160,35.31
"Harrison County, WV",Harrison,WV,218,65158,334.57
"Jackson County, WV",Jackson,WV,16,27738,57.68
"Jefferson County, WV",Jefferson,WV,131,58370,224.43
"Kanawha County, WV",Kanawha,WV,955,177952,536.66
"Lewis County, WV",Lewis,WV,19,16892,112.48
"Lincoln County, WV",Lincoln,WV,11,20126,54.66
"Logan County, WV",Logan,WV,44,31909,137.89
"Marion County, WV",Marion,WV,91,56001,162.5
"Marshall County, WV",Marshall,WV,27,30115,89.66
"Mason County, WV",Mason,WV,26,25157,103.35
"McDowell County, WV",McDowell,WV,12,18363,65.35
"Mercer County, WV",Mercer,WV,124,59097,209.82
"Mineral County, WV",Mineral,WV,24,26857,89.36
"Mingo County, WV",Mingo,WV,19,23005,82.59
"Monongalia County, WV",Monongalia,WV,1507,106387,1416.53
"Monroe County, WV",Monroe,WV,2,12332,16.22
"Morgan County, WV",Morgan,WV,16,17221,92.91
"Nicholas County, WV",Nicholas,WV,37,24300,152.26
"Ohio County, WV",Ohio,WV,226,41776,540.98
"Pendleton County, WV",Pendleton,WV,5,6142,81.41
"Pleasants County, WV",Pleasants,WV,0,7601,0
"Pocahontas County, WV",Pocahontas,WV,8,7841,102.03
"Preston County, WV",Preston,WV,42,34358,122.24
"Putnam County, WV",Putnam,WV,130,57260,227.03
"Raleigh County, WV",Raleigh,WV,219,73771,296.86
"Randolph County, WV",Randolph,WV,51,27806,183.41
"Ritchie County, WV",Ritchie,WV,3,8383,35.79
"Roane County, WV",Roane,WV,17,13898,122.32
"Summers County, WV",Summers,WV,8,11908,67.18
"Taylor County, WV",Taylor,WV,9,16492,54.57
"Tucker County, WV",Tucker,WV,6,6672,89.93
"Tyler County, WV",Tyler,WV,3,8155,36.79
"Upshur County, WV",Upshur,WV,31,23791,130.3
"Wayne County, WV",Wayne,WV,70,38498,181.83
"Webster County, WV",Webster,WV,5,8249,60.61
"Wetzel County, WV",Wetzel,WV,11,14170,77.63
"Wirt County, WV",Wirt,WV,2,5063,39.5
"Wood County, WV",Wood,WV,257,83624,307.33
"Wyoming County, WV",Wyoming,WV,7,21051,33.25
"Adams County, WI",Adams,WI,8,20875,38.32
"Ashland County, WI",Ashland,WI,74,16107,459.43
"Barron County, WI",Barron,WI,113,46719,241.87
"Bayfield County, WI",Bayfield,WI,29,16320,177.7
"Brown County, WI",Brown,WI,860,269591,319
"Buffalo County, WI",Buffalo,WI,7,13302,52.62
"Burnett County, WI",Burnett,WI,5,16744,29.86
"Calumet County, WI",Calumet,WI,17,52539,32.36
"Chippewa County, WI",Chippewa,WI,111,66865,166.01
"Clark County, WI",Clark,WI,17,34746,48.93
"Columbia County, WI",Columbia,WI,65,58488,111.13
"Crawford County, WI",Crawford,WI,20,16075,124.42
"Dane County, WI",Dane,WI,4304,563951,763.19
"Dodge County, WI",Dodge,WI,103,89313,115.32
"Door County, WI",Door,WI,91,30369,299.65
"Douglas County, WI",Douglas,WI,43,44203,97.28
"Dunn County, WI",Dunn,WI,51,45547,111.97
"Eau Claire County, WI",Eau Claire,WI,614,106452,576.79
"Florence County, WI",Florence,WI,7,4593,152.41
"Fond du Lac County, WI",Fond du Lac,WI,197,104362,188.77
"Forest County, WI",Forest,WI,6,9258,64.81
"Grant County, WI",Grant,WI,40,52110,76.76
"Green County, WI",Green,WI,87,36988,235.21
"Green Lake County, WI",Green Lake,WI,29,19229,150.81
"Iowa County, WI",Iowa,WI,36,23756,151.54
"Iron County, WI",Iron,WI,3,6178,48.56
"Jackson County, WI",Jackson,WI,32,21121,151.51
"Jefferson County, WI",Jefferson,WI,75,84943,88.29
"Juneau County, WI",Juneau,WI,34,26802,126.86
"Kenosha County, WI",Kenosha,WI,269,168732,159.42
"Kewaunee County, WI",Kewaunee,WI,20,20543,97.36
"La Crosse County, WI",La Crosse,WI,796,120433,660.95
"Lafayette County, WI",Lafayette,WI,11,16784,65.54
"Langlade County, WI",Langlade,WI,31,19502,158.96
"Lincoln County, WI",Lincoln,WI,34,28541,119.13
"Manitowoc County, WI",Manitowoc,WI,153,81505,187.72
"Marathon County, WI",Marathon,WI,499,137648,362.52
"Marinette County, WI",Marinette,WI,80,41875,191.04
"Marquette County, WI",Marquette,WI,4,15792,25.33
"Menominee County, WI",Menominee,WI,7,4289,163.21
"Milwaukee County, WI",Milwaukee,WI,4454,928059,479.93
"Monroe County, WI",Monroe,WI,60,46193,129.89
"Oconto County, WI",Oconto,WI,32,39356,81.31
"Oneida County, WI",Oneida,WI,140,38259,365.93
"Outagamie County, WI",Outagamie,WI,530,191545,276.7
"Ozaukee County, WI",Ozaukee,WI,605,92497,654.08
"Pepin County, WI",Pepin,WI,10,7364,135.8
"Pierce County, WI",Pierce,WI,47,42587,110.36
"Polk County, WI",Polk,WI,83,45431,182.69
"Portage County, WI",Portage,WI,146,70468,207.19
"Price County, WI",Price,WI,12,14050,85.41
"Racine County, WI",Racine,WI,292,196896,148.3
"Richland County, WI",Richland,WI,23,17212,133.63
"Rock County, WI",Rock,WI,327,164381,198.93
"Rusk County, WI",Rusk,WI,14,14123,99.13
"Sauk County, WI",Sauk,WI,138,65697,210.06
"Sawyer County, WI",Sawyer,WI,34,18295,185.84
"Shawano County, WI",Shawano,WI,37,40859,90.56
"Sheboygan County, WI",Sheboygan,WI,251,117747,213.17
"St. Croix County, WI",St. Croix,WI,133,95044,139.94
"Taylor County, WI",Taylor,WI,10,19923,50.19
"Trempealeau County, WI",Trempealeau,WI,21,30724,68.35
"Vernon County, WI",Vernon,WI,53,30915,171.44
"Vilas County, WI",Vilas,WI,63,23520,267.86
"Walworth County, WI",Walworth,WI,165,106799,154.5
"Washburn County, WI",Washburn,WI,31,16752,185.05
"Washington County, WI",Washington,WI,215,137175,156.73
"Waukesha County, WI",Waukesha,WI,2392,408756,585.19
"Waupaca County, WI",Waupaca,WI,58,51570,112.47
"Waushara County, WI",Waushara,WI,16,24828,64.44
"Winnebago County, WI",Winnebago,WI,495,171623,288.42
"Wood County, WI",Wood,WI,537,74070,724.99
"Albany County, WY",Albany,WY,88,37608,233.99
"Big Horn County, WY",Big Horn,WY,7,11632,60.18
"Campbell County, WY",Campbell,WY,78,46401,168.1
"Carbon County, WY",Carbon,WY,20,14649,136.53
"Converse County, WY",Converse,WY,23,13672,168.23
"Crook County, WY",Crook,WY,6,7315,82.02
"Fremont County, WY",Fremont,WY,106,39336,269.47
"Goshen County, WY",Goshen,WY,20,12537,159.53
"Hot Springs County, WY",Hot Springs,WY,11,4597,239.29
"Johnson County, WY",Johnson,WY,19,8623,220.34
"Laramie County, WY",Laramie,WY,286,100863,283.55
"Lincoln County, WY",Lincoln,WY,28,20153,138.94
"Natrona County, WY",Natrona,WY,259,79555,325.56
"Niobrara County, WY",Niobrara,WY,3,2438,123.05
"Park County, WY",Park,WY,108,30108,358.71
"Platte County, WY",Platte,WY,12,8699,137.95
"Sheridan County, WY",Sheridan,WY,105,31646,331.8
"Sublette County, WY",Sublette,WY,7,8697,80.49
"Sweetwater County, WY",Sweetwater,WY,56,41614,134.57
"Teton County, WY",Teton,WY,145,23575,615.06
"Uinta County, WY",Uinta,WY,27,20635,130.85
"Washakie County, WY",Washakie,WY,10,7705,129.79
"Weston County, WY",Weston,WY,9,6745,133.43
