County,State,Age.Percent 65 and Older,Age.Percent Under 18 Years,Age.Percent Under 5 Years,Ethnicities.American Indian and Alaska Native Alone,Ethnicities.Asian Alone,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,Ethnicities.Native Hawaiian and Other Pacific Islander Alone,Ethnicities.Two or More Races,Ethnicities.White Alone,"Ethnicities.White Alone	 not Hispanic or Latino"
Apache County,AZ,15.8,27,6.7,75,0.5,0.6,6.6,0.1,1.6,22.3,18
Appanoose County,IA,22.9,22.6,5.6,0.3,0.7,0.9,2.2,0.1,1.6,96.4,94.6
Appling County,GA,17.7,24.5,6.4,0.6,0.8,19.6,10,0.2,1.6,77.2,68.7
Appomattox County,VA,21.2,21,5.8,0.3,0.4,18.5,1.9,0.1,2,78.7,77.1
Aransas County,TX,28.9,17.7,4.7,1.3,2.1,1.7,27.9,0.1,1.9,92.9,66.8
Arapahoe County,CO,13.5,23.3,6.1,1.2,6.6,11.5,19.8,0.3,4,76.5,59.4
Archer County,TX,19.6,21.5,5.3,1.5,0.5,1.1,8.2,0.1,1.6,95.1,88.3
Archuleta County,CO,27.3,17.7,4.4,3.4,1.2,0.7,18.4,0.1,2.5,92.1,76.8
Arenac County,MI,25.8,18.1,4.6,1.4,0.3,0.5,2,0.1,1.8,96,94.3
Arkansas County,AR,20.3,22.9,6.5,0.3,0.8,25.1,3.4,0,1.9,71.8,69.1
Arlington County,VA,11.1,18.1,5.8,0.6,11,9.7,15.6,0.1,3.6,75,61.4
Armstrong County,PA,22.6,19.1,4.9,0.1,0.3,0.9,0.8,0,1,97.6,97
Armstrong County,TX,24.9,22.6,5.9,1.3,0.4,1.2,9.2,-1,0.8,96.3,88.1
Aroostook County,ME,24.9,18.3,4.8,1.9,0.5,1.2,1.4,0,1.5,94.8,93.7
Arthur County,NE,21.4,25.3,5.2,0.4,0.2,-1,4.3,-1,2.2,97.2,94.2
Ascension Parish,LA,12.3,26.6,7,0.4,1.4,24,6,0.1,1.5,72.6,67.5
Ashe County,NC,26.6,17.4,3.9,0.4,0.5,1,5.1,0.1,1.2,96.9,92.3
Ashland County,OH,19.1,22.3,5.7,0.3,0.7,0.9,1.5,0.1,1.3,96.7,95.5
Ashland County,WI,20.2,22,5.8,11.7,0.6,0.5,3,0,3.4,83.8,82.2
Ashley County,AR,20.9,22.4,5.6,0.8,0.3,24.7,5.7,0.1,1.3,72.9,68.5
Ashtabula County,OH,19.6,22,5.7,0.3,0.5,3.8,4.4,0,2.3,93,89.3
Asotin County,WA,24,20,5.1,1.8,1,0.8,4.4,0.3,2.9,93.2,89.8
Assumption Parish,LA,18.7,21.2,5.5,0.8,0.4,29.6,3.3,0.1,1.2,68,65.4
Atascosa County,TX,14.9,27.2,7.2,1.3,0.6,1.4,64.8,0.1,1.2,95.3,32.8
Atchison County,KS,17.6,22.8,5.6,0.8,0.7,4.8,3.2,0.1,2.8,90.9,88.2
Atchison County,MO,26.2,20.2,4.9,0.4,0.4,0.5,1.5,0.1,1.3,97.4,96.1
Athens County,OH,13.6,14.4,3.7,0.4,3.1,2.8,1.9,0.1,2.4,91.2,89.7
Atkinson County,GA,14.5,26.2,7,1.6,1,17.4,25.4,1.1,2.3,76.6,56
Atlantic County,NJ,18.6,21.1,5.4,0.7,8.1,17.1,19.4,0.1,2.7,71.3,56
Atoka County,OK,20,22.4,5.9,14.8,0.8,3.9,3.6,0,8,72.5,70.2
Attala County,MS,19.5,24.9,6.4,0.4,0.4,43.6,2,0,0.9,54.6,53
Audrain County,MO,18.2,22.5,6.2,0.6,0.5,6.9,3.3,0.1,2,89.9,87.2
Audubon County,IA,24.7,21.1,6.1,0.2,0.7,0.6,1.9,0,1,97.5,95.9
Auglaize County,OH,18.9,24,6.4,0.2,0.6,0.7,1.8,0.1,1.2,97.2,95.7
Augusta County,VA,21.9,18.5,4.2,0.3,0.6,4.7,3.1,0,1.6,92.8,90.2
Aurora County,SD,20.7,24.8,6.1,2.9,0.7,0.7,7.2,-1,1.5,94.2,87.8
Austin County,TX,19.8,23.8,5.8,0.8,0.8,9.3,27.8,0,1.7,87.4,61.4
Autauga County,AL,16,23.2,5.9,0.5,1.2,20.1,3,0.1,1.9,76.3,73.8
Avery County,NC,22.9,14.7,3.7,0.6,0.6,4.7,5.1,0.1,1.1,92.9,88.5
Avoyelles Parish,LA,17.3,23.4,6.6,1.2,0.5,29.8,2.1,0.1,2,66.4,64.9
Baca County,CO,24.4,22.2,5.4,2.1,0.4,1.1,11.3,-1,2.8,93.6,83.9
Bacon County,GA,16.8,25.4,6.9,0.4,0.8,16.2,8.6,0.2,1.8,80.7,73.4
Bailey County,TX,14.8,30.8,8.2,3.4,0.9,2.1,64,0.1,1.4,92.1,33
Baker County,FL,14.1,23.9,6.2,0.5,0.7,14.2,2.8,0,1.9,82.7,80.4
Baker County,GA,23.7,19.5,5.8,0.5,1.2,44,6.4,0.1,1.3,52.9,47.9
Baker County,OR,26.5,19.8,5.1,1.6,0.9,0.7,4.7,0.1,3,93.7,89.7
Baldwin County,AL,21,21.3,5.4,0.8,1.1,8.8,4.7,0.1,1.9,87.4,83.2
Baldwin County,GA,16.5,18.5,4.7,0.3,1.7,42.5,2.3,0.1,1.3,54,52.4
Ballard County,KY,21.9,20.9,5,0.4,0.5,3.4,1.5,0.1,2.4,93.2,92
Baltimore County,MD,17.6,21.6,5.9,0.4,6.3,30.3,5.8,0.1,2.6,60.2,55.8
Baltimore city,MD,13.6,20.7,6.4,0.3,2.6,62.4,5.3,0,2.5,30.5,27.5
Bamberg County,SC,22.4,18.8,4.6,0.4,0.5,60.3,2.3,0.1,1.1,37.6,36.2
Bandera County,TX,27.9,16.5,4.2,1.3,0.6,1.1,19.8,0,1.6,95.3,76.7
Banks County,GA,17.7,22.2,5.8,0.6,1.1,2.9,7.2,0.1,1.6,93.8,87.3
Banner County,NE,24,24.4,7.5,0.3,0.3,1.3,5.8,-1,0.5,97.6,91.8
Bannock County,ID,14.7,25.9,6.9,3.8,1.6,1.1,8.9,0.3,2.6,90.6,83.4
Baraga County,MI,22.7,17,3.9,14.3,0.4,8,1.7,0,4.6,72.7,72
Barber County,KS,23.1,23.2,6.2,1.4,0.5,1,4.7,0,1.9,95.2,91.3
Barbour County,AL,19.7,20.6,5.3,0.7,0.5,48.2,4.5,0.2,1.2,49.2,45.5
Barbour County,WV,20.7,19.7,5,0.6,0.3,1,1.1,0,1.5,96.5,95.5
Barnes County,ND,23.2,19.6,4.8,1.1,0.9,1.8,2.2,0.1,1.8,94.2,92.5
Barnstable County,MA,31.4,14.8,3.7,0.7,1.6,3.5,3.4,0.1,2,92.2,89.5
Barnwell County,SC,18.9,23.7,5.8,0.7,1,43.9,2.7,0,1.7,52.7,50.8
Barren County,KY,18,23.5,6.5,0.4,0.8,4.2,3.4,0.2,1.8,92.6,90
Barron County,WI,22.6,21.5,5.4,1.1,0.7,1.6,2.6,0,1.3,95.3,93
Barrow County,GA,12.7,25.7,6.7,0.6,4,12.9,12.2,0.1,2.5,80,69.4
Barry County,MI,18.9,21.9,5.5,0.6,0.5,0.7,3.1,0,1.6,96.6,93.8
Barry County,MO,21,22.7,6,1.3,2.4,0.7,9.9,0.2,2,93.4,84.5
Bartholomew County,IN,16.5,23.7,6.5,0.5,8.5,2.4,7.2,0.1,1.7,86.9,80.5
Barton County,KS,19.9,23.6,5.9,1,0.3,1.9,15.3,0.1,1.8,94.9,81
Barton County,MO,21.2,23.2,5.9,1.6,0.6,0.6,2.9,0.1,2.7,94.5,92.4
Bartow County,GA,14.4,23.8,6.3,0.6,1,11.3,9.2,0.1,2.1,84.9,76.9
Bastrop County,TX,15.6,25.4,6.6,2,0.9,7.3,39.7,0.1,2.1,87.5,51.1
Bates County,MO,19.6,23,6,0.9,0.3,1.3,2.3,0.1,1.9,95.6,93.8
Bath County,KY,17,25.6,7.2,0.3,0.4,1.4,1.7,0.1,1.6,96.3,94.8
Bath County,VA,28,15.1,4.1,0.2,0.5,4.8,2.2,-1,1.5,92.9,91.1
Baxter County,AR,31.1,17.8,4.5,0.8,0.5,0.5,2.6,0.1,1.6,96.5,94.3
Bay County,FL,18.6,20.6,5.7,0.8,2.3,11.3,6.7,0.2,3.2,82.2,76.6
Bay County,MI,21,19.9,5,0.6,0.6,1.8,5.5,0,2.3,94.6,89.8
Bayfield County,WI,28.2,17.3,4.5,10.5,0.5,0.6,2.2,0,3,85.4,84.2
Baylor County,TX,24.1,22.9,5.9,0.9,0.5,3.1,14.2,0.1,2.5,93,80.4
Beadle County,SD,17.8,27.1,8.4,1.6,10.1,1.5,10.7,0.4,2.1,84.2,75.2
Bear Lake County,ID,20.7,26.9,6.9,1.1,0.5,0.4,4.3,0.1,1.4,96.5,93.1
Beaufort County,NC,24.6,19.8,4.8,1,0.5,24.8,8,0.1,1.6,72,65.9
Beaufort County,SC,28,18.2,5,0.4,1.5,17.9,11.1,0.1,1.9,78.2,68.5
Beauregard Parish,LA,15.9,24.9,7.1,1.2,0.7,12.1,3.8,0.1,2.5,83.4,80.5
Beaver County,OK,19.8,26.2,5.8,2.5,0.4,1.4,25.9,0.1,3.2,92.5,69.5
Beaver County,PA,22,19.2,5,0.2,0.6,6.5,1.8,0,2.2,90.5,89.1
Beaver County,UT,14.1,32.4,8.3,2.1,0.8,0.4,12.4,0.4,2.1,94.3,83.8
Beaverhead County,MT,22.3,17.4,4.3,1.9,0.5,0.4,5.5,0.6,2.2,94.4,89.5
Becker County,MN,21.1,24.1,6.2,8.1,0.5,0.7,2.3,0,3.4,87.2,86.1
Beckham County,OK,14.7,25,6.8,3.7,1.1,4.3,14.7,0,3,87.9,75
Bedford County,PA,23.4,19.1,4.9,0.2,0.4,0.7,1.3,0,1,97.6,96.7
Bedford County,TN,15.2,25.4,6.7,1.2,1,8.4,13.1,0.2,2.2,87,76.1
Bedford County,VA,21.8,19.7,4.6,0.4,1.2,7.2,2.4,0,1.6,89.6,87.6
Bee County,TX,12.6,21,5.6,1,0.6,8.9,59.3,0.1,1.3,88.1,30.8
Belknap County,NH,22.8,18.3,4.3,0.3,1.2,0.7,1.8,0,1.5,96.3,94.8
Bell County,KY,19.7,21,5.9,0.3,0.4,2.5,1.2,0.1,1.9,95,94
Bell County,TX,11.2,27.6,8.2,1.1,3.2,24.4,25.6,0.8,4.7,65.7,44.6
Belmont County,OH,21.4,18.8,4.7,0.2,0.5,4.2,1.1,0,1.7,93.4,92.4
Beltrami County,MN,16.5,25.1,6.9,22.2,0.8,0.9,2.6,0.1,3.3,72.9,71.7
Ben Hill County,GA,17.9,24.5,6.3,0.7,0.9,37,6.3,0.1,1.4,60,54.8
Benewah County,ID,22.8,22.1,5.4,8.4,0.4,0.5,3.8,0.1,4,86.7,84.6
Bennett County,SD,13.3,33.8,9.2,59.3,0.6,0.7,6.2,0.1,5.1,34.3,32.5
Bennington County,VT,23.4,18.6,4.6,0.3,1.1,1.4,2.2,0.1,1.6,95.5,93.7
Benson County,ND,14.4,35.2,10.7,55.6,0.2,0.5,4.1,0,2.1,41.6,40.5
Bent County,CO,18.9,15.4,3.6,3.6,1.5,7.3,32.2,0.1,2,85.5,57
Benton County,AR,13.6,26,6.9,1.9,4.2,2.1,17.1,0.7,2.7,88.5,72.6
Benton County,IA,19,23.2,6.2,0.3,0.4,0.7,1.6,0.1,1.1,97.4,96.1
Benton County,IN,18,25,6.2,0.3,0.2,1.1,5.4,0.1,1.3,96.9,92.1
Benton County,MN,14.3,25.4,7.1,0.6,1.1,5.2,2.8,0,2.2,90.8,88.6
Benton County,MO,31.2,17.3,4.6,0.8,0.4,0.6,2.1,0.1,1.8,96.3,94.5
Benton County,MS,19,21.3,5.7,0.4,0.1,35.8,2.6,0,1.5,62.2,60.1
Benton County,OR,16.8,16.1,4,0.9,7,1.2,7.8,0.3,4.1,86.5,79.8
Benton County,TN,23.9,19.9,5.1,0.6,0.6,2.6,2.7,0,1.6,94.6,92.3
Benton County,WA,15.4,26.6,6.9,1.3,3.3,1.8,22.6,0.3,3.3,90,69.4
Benzie County,MI,27,17.7,4.5,1.5,0.5,0.7,2.5,0,1.5,95.8,93.7
Bergen County,NJ,17.7,21.1,5.3,0.5,17,7.4,21,0.1,2.2,72.9,55.1
Berkeley County,SC,14.2,23.8,6.4,0.7,2.7,24.7,7,0.1,2.9,69,63.3
Berkeley County,WV,15,23,6.1,0.3,1.1,7.9,4.8,0,3,87.7,83.6
Berks County,PA,17.6,22.2,5.7,0.9,1.6,7.4,22.5,0.2,3.1,86.9,70.3
Berkshire County,MA,23.9,16.7,4.1,0.3,1.7,3.6,5.1,0.1,2.5,91.8,87.7
Bernalillo County,NM,16.9,21.4,5.4,6.3,2.9,3.6,50.3,0.1,3.1,83.9,38.3
Berrien County,GA,17.2,23.9,6.3,0.4,1.2,11.2,5.5,0.1,1.3,85.8,80.9
Berrien County,MI,20.3,21.6,5.7,0.7,2.1,14.8,5.8,0.1,2.6,79.7,74.8
Bertie County,NC,23.6,17.4,4.3,0.7,0.8,61.1,2.4,0.1,1.2,36.2,34.7
Bethel Census Area,AK,7.9,35.6,10.7,83.9,1,1,2.7,0.2,3.7,10.3,9.6
Bexar County,TX,12.4,25.3,6.9,1.2,3.3,8.6,60.7,0.2,2.4,84.3,27.1
Bibb County,AL,16.7,20.3,5.6,0.5,0.2,21.3,2.8,0.1,1.2,76.8,74.4
Bibb County,GA,16,24.2,6.7,0.3,2.2,55.8,3.5,0.1,1.6,40,37.4
Bienville Parish,LA,21.7,22.2,5.9,0.4,0.3,41.6,2.1,0,1.6,56,54.5
Big Horn County,MT,13.3,33.5,9.1,66.4,0.7,0.4,6.6,0,3.4,29.1,26.5
Big Horn County,WY,21.9,24.6,5.9,1.5,0.5,0.8,9.2,0,1.6,95.6,87.5
Big Stone County,MN,26.8,21.6,6,0.7,0.3,0.5,2.1,-1,1.2,97.3,95.5
Billings County,ND,22.7,20.8,7.5,0.6,4.1,0.4,2.6,0.2,0.6,94,91.9
Bingham County,ID,14.5,30.4,7.2,7.3,1,0.6,17.9,0.2,1.9,89,73.9
Black Hawk County,IA,16.9,21.7,6.3,0.4,2.5,9.7,4.6,0.4,2.5,84.5,80.6
Blackford County,IN,21.9,21.5,5.4,0.3,0.6,0.8,1.8,0,1.6,96.8,95.2
Bladen County,NC,22.8,20.3,4.9,3.1,0.3,34,7.8,0,1.7,60.8,54.9
Blaine County,ID,20.3,21.1,4.8,1.7,1.2,0.7,23.5,0.1,1.6,94.6,73.7
Blaine County,MT,15.8,29.5,7.9,50.6,0.2,0.4,3.7,0,3.1,45.7,43.8
Blaine County,NE,26.9,18.5,5.8,0.2,-1,0.4,1.5,-1,1.1,98.3,96.8
Blaine County,OK,20.2,25.6,6.8,9.9,0.4,3.5,12.5,0.1,5.3,80.9,71.4
Blair County,PA,21.3,20.2,5.1,0.2,0.7,2,1.3,0,1.5,95.6,94.5
Blanco County,TX,25.2,17.8,4.1,1.2,0.9,1.5,19.7,0.1,1.6,94.6,76.5
Bland County,VA,23.6,15,3.9,0.2,0.6,4,1,0,1,94.3,93.4
Bleckley County,GA,17.1,20,5.1,0.2,1.1,26.9,3.2,0,1.4,70.4,67.8
Bledsoe County,TN,18.8,14.5,3.7,0.6,0.3,7.7,2.8,0,1.4,89.9,87.3
Blount County,AL,18.7,22.9,5.9,0.6,0.3,1.7,9.7,0.1,1.4,95.8,86.8
Blount County,TN,20.6,19.9,4.9,0.4,1,3,3.6,0.1,1.7,93.7,90.6
Blue Earth County,MN,14.2,19.9,5.4,0.4,2.5,4.3,3.9,0.1,2.2,90.5,87.2
Boise County,ID,26.3,16.3,3.6,1.3,1,0.5,5.2,0.2,2.6,94.5,90.1
Bolivar County,MS,16.3,24.4,6.7,0.2,1.1,63.7,2.2,0,0.7,34.2,32.7
Bollinger County,MO,21.1,21.2,5.2,0.9,0.2,0.6,1.5,0,1.3,97,95.9
Bon Homme County,SD,20.8,19.4,5.5,8.3,0.3,1.4,3.1,0,1.4,88.6,86.2
Bond County,IL,19.4,19.1,4.7,0.7,0.8,6.3,3.6,0,1.6,90.6,87.4
Bonner County,ID,25.4,19.7,5,0.9,0.8,0.3,3.4,0.2,2.4,95.5,92.6
Bonneville County,ID,13.5,30.3,8.3,1.3,1.1,0.7,13.4,0.1,2.3,94.4,82.5
Boone County,AR,20.9,22.8,6,0.9,0.6,0.5,2.6,0.1,2,96,93.7
Boone County,IA,19,21.1,5.3,0.5,0.5,1.2,2.7,0,1.2,96.6,94.3
Boone County,IL,16.1,24.5,5.6,0.8,1.5,2.8,22.8,0.1,2.3,92.5,71.9
Boone County,IN,13.8,26,6.4,0.3,3.4,2.1,3.2,0,1.6,92.6,89.7
Boone County,KY,14.1,25.8,6.5,0.2,2.4,3.8,4.4,0.2,2.2,91.2,87.3
Boone County,MO,12.8,20.4,5.8,0.5,5,9.8,3.5,0.1,3.2,81.4,78.4
Boone County,NE,23.4,23.2,6.1,0.3,0.4,0.5,2.2,0,0.8,98,96.2
Boone County,WV,20.9,20.7,5,0.2,0.1,0.7,0.6,0,0.8,98.2,97.6
Borden County,TX,26.6,19.9,4,0.8,0.2,0.9,17.9,-1,3.2,95,78.9
Bosque County,TX,25.4,21,5.3,0.9,0.6,2.2,18.9,0.1,1.6,94.6,77.1
Bossier Parish,LA,14.9,24.7,6.7,0.6,1.9,23.1,6.9,0.1,2.5,71.8,65.9
Botetourt County,VA,23.3,18.9,4.2,0.3,0.8,3.3,1.8,0,1.5,94.1,92.7
Bottineau County,ND,24.5,21.4,5.5,3.3,0.6,0.8,2.2,-1,2.4,92.9,91.2
Boulder County,CO,14.8,18.8,4.3,0.9,5,1.2,14,0.1,2.8,90,77.4
Boundary County,ID,23.1,23,6.4,2,1,0.7,5.1,0.1,2,94.3,90
Bourbon County,KS,20.2,25.5,6.6,0.9,1.1,3.2,2.8,0,2.8,91.9,89.7
Bourbon County,KY,19.7,22.5,5.8,0.4,0.5,5.9,6.8,0,2,91.1,85.1
Bowie County,TX,17,23.6,6.3,1.1,1.2,25.4,7.8,0.1,2.5,69.7,63.1
Bowman County,ND,22.2,24.4,6.2,2.5,0.2,0.3,5.5,0.1,1,95.9,92
Box Butte County,NE,19.3,25.4,6.8,4.6,0.7,1.1,12.9,0,2.6,91,80.7
Box Elder County,UT,13.2,31.2,8,1.1,0.8,0.6,9.7,0.2,2.1,95.2,86.7
Boyd County,KY,20,21.3,5.6,0.3,0.6,2.9,1.9,0,1.5,94.6,93.1
Boyd County,NE,31,18.5,4.5,1.4,1.4,0.1,2.5,0.1,0.5,96.5,94.4
Boyle County,KY,19.6,19.9,5.2,0.3,1,8.2,3.4,0,2.4,88.1,85.2
Bracken County,KY,17.2,23.5,5.9,0.4,0.1,0.8,1.7,0,1.5,97.2,95.8
Bradford County,FL,18,19.4,5.3,0.6,0.6,20.6,4.7,0,2.1,76.1,72.2
Bradford County,PA,21.9,21.8,5.6,0.3,0.7,0.8,1.6,0,1.3,96.9,95.7
Bradley County,AR,19.2,24,6,1.6,0.5,27.4,15.9,0,1.8,68.8,55.1
Bradley County,TN,17.3,21.9,5.8,0.6,1.2,5.2,6.6,0.1,2.1,90.7,85.1
Branch County,MI,18.7,23,6.1,0.5,0.7,2.4,5.1,0,1.9,94.5,90
Brantley County,GA,17.2,23.2,6.1,0.5,0.3,4,2.3,0,1.8,93.4,91.8
Braxton County,WV,23.7,19.2,4.8,0.4,0.2,0.7,0.9,0,1.3,97.3,96.6
Brazoria County,TX,12.2,26.1,6.7,0.8,6.9,15.1,31.6,0.1,2.1,74.9,45.3
Brazos County,TX,9.5,20.6,6.1,0.7,6.3,11.2,26.2,0.1,2.1,79.6,55.2
Breathitt County,KY,17.7,20.8,6.2,0.2,0.6,0.6,1.2,0.1,1.1,97.3,96.3
Breckinridge County,KY,19.8,22.5,6.1,0.5,0.4,2.2,1.9,0,1.6,95.3,93.7
Bremer County,IA,19.9,22.4,5.8,0.2,1.2,1.2,1.6,0,1.2,96.3,94.9
Brevard County,FL,24.2,18.1,4.6,0.5,2.6,10.8,10.9,0.1,2.8,83.2,73.8
Brewster County,TX,24.2,18.3,5,1.8,1.7,1.7,45.2,0.1,2.3,92.3,49.8
Briscoe County,TX,26.1,19.5,5.2,0.7,0.3,3.3,25,-1,2.7,93,68.8
Bristol Bay Borough,AK,16.3,17.8,6.9,35,1.8,0.8,7.4,0.2,20.5,41.6,39.6
Bristol County,MA,17.3,20.5,5.3,0.6,2.5,6.1,8.6,0.1,2.4,88.3,81.8
Bristol County,RI,20.2,18.6,4.1,0.3,2.5,1.5,3.2,0.1,2,93.7,91
Bristol city,VA,20.4,21.3,5.5,0,0.2,5.7,2.3,0,3.2,90.5,88.2
Broadwater County,MT,24,19.6,5.1,1.5,0.3,0.6,2.9,0.1,1.7,95.8,93.3
Bronx County,NY,13.3,24.6,7.1,2.9,4.6,43.6,56.4,0.4,3.8,44.7,9
Brooke County,WV,24.6,17.4,4.6,0.2,0.5,1.5,0.9,0,1.5,96.3,95.6
Brookings County,SD,12.5,20.6,6.2,1.2,2.8,1.4,3.5,0.1,1.8,92.7,89.9
Brooks County,GA,20,21.6,5.6,0.4,1.1,35.2,6.2,0.2,1.6,61.4,56.3
Brooks County,TX,18.4,27.5,8.1,0.7,1.1,1.1,91.4,0,0.5,96.5,6.8
Broome County,NY,19.4,19.3,5.2,0.3,4.4,6.4,4.4,0.1,3.1,85.8,82.7
Broomfield County,CO,14.3,22.1,5,0.8,6.9,1.5,12.7,0.1,2.9,87.8,76.4
Broward County,FL,17.1,21,5.7,0.4,3.9,30.2,31.1,0.1,2.3,63.1,34.8
Brown County,IL,14.1,15.9,4.5,1.3,0.3,18.9,6.9,0,0.9,78.5,73.4
Brown County,IN,25.4,17.3,4,0.6,0.5,0.7,1.8,0,1.4,96.8,95.3
Brown County,KS,20.7,25.3,6.6,9.6,0.6,1.6,5.3,0.1,3.2,85,82.2
Brown County,MN,21.3,21.8,5.6,0.3,0.9,0.5,4.6,0,0.8,97.4,93.1
Brown County,NE,27,21.6,5.1,1.2,0.2,0.5,2.7,0.1,1,97.1,94.6
Brown County,OH,18.3,22.9,5.9,0.3,0.3,1,1.2,0,1.2,97.1,96.2
Brown County,SD,17.9,23.7,6.5,3.4,2.8,2.4,3.6,0.2,2.2,89,86.2
Brown County,TX,20.4,21.6,5.2,0.9,0.8,4.1,23.1,0.1,1.8,92.4,70.6
Brown County,WI,15.4,23.5,6.2,3.4,3.4,3,9,0.1,2.4,87.8,80.3
Brule County,SD,19.7,25.8,6.7,10,0.4,0.6,3.2,0,3.8,85.1,83.3
Brunswick County,NC,32.6,14.7,3.7,0.8,0.7,10,4.9,0.1,1.8,86.5,82.3
Brunswick County,VA,21.8,16.4,4.4,0.4,0.9,54.8,2.5,0.1,1.5,42.4,40.7
Bryan County,GA,10.7,29.4,7.4,0.6,2.3,15.2,7.6,0.2,3.5,78.3,72.2
Bryan County,OK,18,23.3,6.5,14.8,0.6,2,6.3,0.1,7.8,74.7,70.2
Buchanan County,IA,18.3,25.9,6.5,0.2,0.6,0.6,1.7,0,1.2,97.4,95.8
Buchanan County,MO,16.7,22.4,6.1,0.8,1.5,6,6.9,0.5,2.8,88.5,82.7
Buchanan County,VA,23.1,17.3,4.2,0.2,0.4,3.4,0.9,0,0.7,95.3,94.6
Buckingham County,VA,20.2,17.7,4.1,0.4,0.4,33.7,2.4,0,2.1,63.3,61.3
Bucks County,PA,19.2,20.2,4.8,0.3,5.2,4.5,5.7,0.1,1.8,88.1,83.3
Buena Vista County,IA,16.7,25.7,7.4,0.6,10,3.4,26.4,1.8,1.5,82.7,58
Buena Vista city,VA,18.4,20.7,5.1,0.1,1.9,7.3,1.8,0.2,0.6,89.2,88.1
Buffalo County,NE,15,23.3,6.6,0.6,1.5,1.2,9.3,0.1,1.5,95,86.6
Buffalo County,SD,7.5,38.7,11.3,80.6,0.1,0.8,5.4,0.1,2.9,15.6,14.9
Buffalo County,WI,22.8,20.5,5.4,0.4,0.5,0.6,2.3,0,1.2,97.3,95.4
Bullitt County,KY,16.2,21.6,5.2,0.4,0.6,1.4,2.3,0.1,1.6,95.9,94
Bulloch County,GA,11.6,19.8,5.7,0.5,1.3,29.6,4.2,0.1,1.9,66.6,63.3
Bullock County,AL,16.9,20.8,5.6,0.8,0.2,70.3,8.6,0.8,1.3,26.6,21
Buncombe County,NC,20.5,18.2,4.8,0.5,1.4,6.3,6.8,0.2,2.2,89.4,83.4
Bureau County,IL,22.5,21.1,5.2,0.5,1.1,1.1,9.5,0,1.4,96,87.3
Burke County,GA,16,25.7,6.8,0.5,0.6,46.9,3.5,0.1,1.6,50.3,47.8
Burke County,NC,20.7,18.4,4.8,0.9,3.6,6.9,6.5,0.7,1.8,86.1,81.4
Burke County,ND,21.2,24.8,7.6,1.6,0.6,0.8,3,0.1,1.7,95.3,92.4
Burleigh County,ND,16.6,23.3,6.6,4.3,0.9,2.4,2.8,0.1,1.9,90.4,88.2
Burleson County,TX,21,21.8,5.9,1.1,0.5,12.7,21.1,0,1.7,83.9,64.3
Burlington County,NJ,17.4,20.7,5.1,0.3,5.4,18.3,8.5,0.1,3,72.9,66.6
Burnet County,TX,22.8,21.1,5.5,1.2,1,2,22.6,0.1,1.5,94.2,73.1
Burnett County,WI,29.4,17.4,4.3,4.6,0.5,0.8,2,0.1,2.5,91.5,90.2
Burt County,NE,24.4,22.5,5.5,2.3,0.4,0.7,3.5,0.1,1.7,94.7,92.1
Butler County,AL,20.8,22,5.7,0.4,1.4,45,1.5,0,1.1,52.1,51.1
Butler County,IA,22.9,22.2,5,0.2,0.9,0.3,1.4,0,0.9,97.6,96.4
Butler County,KS,15.7,25.4,6,1.1,1.4,2.2,5.1,0.1,2.6,92.6,88.2
Butler County,KY,18.8,22.7,6.1,0.4,0.3,0.7,3.4,-1,1.3,97.2,94.4
Butler County,MO,19.2,23.3,6.1,0.8,0.9,5.6,2.2,0,2.6,90.1,88.4
Butler County,NE,21.3,23,5.5,0.5,0.5,0.6,4.5,0,1,97.4,93.4
Butler County,OH,15.1,23.3,6,0.3,3.9,9.2,5,0.1,2.5,84,79.8
Butler County,PA,19.4,19.7,5,0.2,1.5,1.4,1.6,0,1.2,95.8,94.5
Butte County,CA,18.4,20.3,5.5,2.5,5,1.9,17.2,0.3,4.6,85.7,70.9
Butte County,ID,23.6,24.3,5.7,1.1,0.3,0.4,5.4,0.2,2.3,95.7,90.9
Butte County,SD,20.5,24.7,6.7,2.5,0.4,0.5,3.8,0.1,2.6,93.9,91
Butts County,GA,15.8,20.5,5.5,0.4,0.7,28.9,3.6,0,1.5,68.5,65.7
Cabarrus County,NC,13.4,25.4,6.4,0.7,4.7,19.6,11.1,0.1,2.4,72.4,63.4
Cabell County,WV,19.4,19.7,5.4,0.2,1.3,4.8,1.4,0,2.4,91.3,90.1
Cache County,UT,9.8,30.1,8.2,1.1,2.3,1.1,10.9,0.5,2.1,92.9,83.5
Caddo County,OK,16.9,24.9,6.7,25.5,0.5,2.9,13.3,0.1,6.4,64.6,56.8
Caddo Parish,LA,17.7,23.4,6.5,0.5,1.3,50,2.9,0.1,1.7,46.5,44.3
Calaveras County,CA,28,17.1,4.5,2,1.9,1.1,13,0.3,3.9,91,79.9
Calcasieu Parish,LA,15.2,24.9,7.1,0.6,1.4,25.8,4.1,0.1,2.1,70.1,66.6
Caldwell County,KY,21.3,22.4,5.8,0.3,0.5,5.4,1.7,0,1.4,92.3,90.8
Caldwell County,MO,20.1,23.2,5.5,0.8,0.3,0.7,2.5,0,2.1,96,93.9
Caldwell County,NC,20.4,19.9,5.1,0.6,0.8,5.2,5.9,0.1,1.8,91.5,86.7
Caldwell County,TX,14.9,23.2,6.2,1.6,1,6.6,53.8,0.1,1.8,88.8,38.2
